,NEIGHBORHOOD,AREA,LAT_CENTER,LONG_CENTER,LAT_CENTER_POP,LONG_CENTER_POP,HGI_GEOM_CENTER,RGI_GEOM_CENTER,RGI_Scored_GEOM_CENTER,HGI_POP_CENTER,RGI_POP_CENTER,RGI_Scored_POP_CENTER
82,SÉTIMO CÉU,0.0001442777445390675,-30.11969836124121,-51.24141112114012,-30.1228460846341,-51.2375000001429,0.6849046144090521,27.803775521942462,13.34096888768104,0.6495621078178366,49.05000304959138,23.535457050026658
83,TERESÓPOLIS,0.0003613537320461546,-30.088517324374916,-51.20371098591899,-30.0840874645989,-51.2081442715982,1.7845390407787658,23.656837636015243,11.338332239144345,2.1681991923366306,46.850293580202866,22.45457327335604
84,TRISTEZA,0.00024276611111417878,-30.110418903102907,-51.2514618136791,-30.0354835963672,-51.1730024926342,0.7978152756371588,94.77369635263716,45.35803846637867,29.597029836020788,63.01036742170303,30.156327961083335
85,TRÊS FIGUEIRAS,0.00012474543473217636,-30.03298567295823,-51.17241882856658,-30.1095179649329,-51.2500000001143,14.654917900454382,117.5953241099764,56.218683978443885,0.8249405105385283,118.75836066968544,56.7746957527259
86,VILA  ASSUNÇÃO,0.00012732138736737397,-30.100700022985542,-51.25806826916564,-30.097934244,-51.2541666667714,0.9513862613270128,92.23976858729296,44.06167158532669,1.0712002762037307,106.38002204872042,50.816276607574416
87,VILA CONCEIÇÃO,3.4978065286850324e-05,-30.1204741985444,-51.25689468130252,-30.120473,-51.256894,0.612333282996563,122.16695342851436,58.32364239617228,0.6123531337533256,122.16703369566075,58.3236807164562
88,VILA IPIRANGA,0.00016975118398931954,-30.019351719288593,-51.14972602548068,-30.0205838144538,-51.1484775136905,1.5923207898213898,210.58061108892946,100.47549916086366,1.5622623314158652,805.5131773258016,384.33898616755454
89,VILA JARDIM,0.00013716556452436635,-30.034423395564673,-51.15334853689503,-30.0364357725729,-51.154166667,2.2354741231318283,51.98969906629237,24.736778490568504,2.353606903670584,52.769280593865545,25.107704576105704
90,VILA JOÃO PESSOA,0.0001049349071990946,-30.06830100366591,-51.174892425934864,-30.0647184564878,-51.1750000002857,4.122131540254887,35.65918267960684,16.96493875747281,6.2719822612397085,301.841895928401,143.60198114673327
91,VILA NOVA,0.0011265630206480637,-30.11658484436779,-51.20125480948837,-30.1160860873801,-51.2081322988026,0.7843900022672597,15.236667913528457,7.22887990946409,0.8002286840840436,18.512108174620433,8.782878751759162
92,VILA SÃO JOSÉ,0.00028513191250567615,-30.075725825613695,-51.162922547339605,-30.0710144248725,-51.1655363327541,2.030994735966738,61.43861698805465,29.08650571331849,2.714857751427018,23.693387836841154,11.21701454995549
