,Code,Neighborhood,Price,m²,Street,Price/m²
219,244154, Lomba do Pinheiro,166250.0,49.17,Estrada João de Oliveira Remião,3381.126703274354
220,253143, Moinhos de Vento,350000.0,43.55,Rua Doutor Florêncio Ygartua,8036.739380022963
221,121470, Nonoai,2130000.0,533.75,Rua Alcebíades Antônio dos Santos,3990.632318501171
222,185149, Independência,880000.0,71.16,Avenida Independência,12366.498032602587
223,148145, Boa Vista,1805000.0,350.0,Rua Alcides Gonzaga,5157.142857142857
224,195099, Santa Cecília,2378521.0,242.49,Rua Santa Cecília,9808.738504680605
225,229411, Jardim Sabará,500000.0,180.0,Rua Aluízio de Azevedo,2777.777777777778
226,228584, Petrópolis,213750.0,62.0,Avenida Protásio Alves,3447.5806451612902
227,266269, Santo Antônio,106500.0,45.57,Rua Luiz de Camões,2337.063857801185
228,206522, Centro Histórico,499000.0,126.69,Rua Vinte e Quatro de Maio,3938.748125345331
229,254286, Santana,310000.0,81.0,Rua Laurindo,3827.1604938271603
230,198739, Tristeza,1615000.0,149.38,Rua Doutor Armando Barbedo,10811.35359485875
231,253905, Cristal,469000.0,57.2,Rua Doutor Campos Velho,8199.300699300698
232,292011, Nonoai,474000.0,145.0,Rua Jamil Antônio José,3268.9655172413795
233,181103, Menino Deus,1045000.0,230.58,Rua Silveiro,4532.049614016827
234,163589, Medianeira,280000.0,75.22,Rua Eurico Lara,3722.4142515288486
235,202777, Rio Branco,3796716.0,225.65,Rua Coronel Paulino Teixeira,16825.685796587637
236,209803, Teresópolis,208000.0,60.9,Rua Silvério Souto,3415.4351395730705
237,214005, São Geraldo,330000.0,80.31,Avenida São Paulo,4109.077325364214
238,241519, Moinhos de Vento,560500.0,81.87,Rua Doutor Vale,6846.219616465127
239,265778, Tristeza,425000.0,97.8,Rua Doutor Barcelos,4345.60327198364
240,207347, Bom Fim,420000.0,118.35,Avenida Osvaldo Aranha,3548.7959442332067
241,218896, Morro Santana,560000.0,125.0,Rua Altamira,4480.0
242,244632, Cavalhada,360000.0,71.0,Rua Wilson Adnislen Freitas de Paiva Bueno,5070.422535211268
243,251958, Três Figueiras,210000.0,46.78,Avenida Carlos Gomes,4489.097905087644
244,210373, Campo Novo,448542.0,150.0,Rua Tomé Antônio de Souza,2990.28
245,270841, Parque Santa Fé,600000.0,290.0,Avenida Delmar Rocha Barbosa,2068.9655172413795
246,203915, Petrópolis,300000.0,61.9,Avenida Coronel Lucas de Oliveira,4846.526655896608
247,215015, Passo da Areia,252000.0,129.23,Avenida Assis Brasil,1950.0116072119479
248,217819, Cristo Redentor,579000.0,145.0,Rua Fernando Abbott,3993.103448275862
249,225955, Jardim Itu,1350750.0,422.0,Rua Dona Adda Mascarenhas de Moraes,3200.829383886256
250,198616, Santa Tereza,149000.0,48.84,Rua Orfanotrófio,3050.778050778051
251,202505, Menino Deus,280250.0,65.14,Rua Grão Pará,4302.272029474977
252,211401, Aberta dos Morros,456000.0,168.52,Rua Antonio Spolidoro,2705.910277711844
253,249637, Azenha,180500.0,42.6,Rua 20 de Setembro,4237.089201877934
254,196258, Jardim Floresta,288300.0,180.49,Avenida Polar,1597.3184109922986
255,204020, Cristo Redentor,455178.0,54.57,Avenida Francisco Trein,8341.176470588236
256,217655, Sarandi,646000.0,207.28,Rua Dom Jaime de Barros Câmara,3116.557313778464
257,226370, Floresta,113000.0,58.0,Avenida Cristóvão Colombo,1948.2758620689656
258,228978, Sarandi,155000.0,48.2,Avenida Engenheiro Francisco Rodolfo Simch,3215.7676348547716
259,228985, Bela Vista,1200000.0,138.85,Rua Engenheiro Veríssimo de Matos,8642.419877565719
260,223332, Jardim Itu,490000.0,130.0,Avenida Karl Iwers,3769.230769230769
261,187858, Morro Santana,185000.0,44.0,Travessa Esporte Clube Cruzeiro,4204.545454545455
262,207627, Passo da Areia,699000.0,87.33,Rua Acélio Daudt,8004.122294744075
263,218293, Jardim Leopoldina,1220500.0,300.0,Rua Professora Ziláh Totta,4068.3333333333335
